Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,size,founded,type,industry,sector,revenue
"Data Scientist, Data Science & Modeling",CardWorks,"South Jordan, UT","$134,452 /yr (est.)",3.1,"Merrick Bank employees share in our mission to delight our customers and empower underserved consumers to achieve their credit goals. In return, we delight our associates; ensuring they are noticed, heard, appreciated and understand the importance of their role(s). For over 20 years, our Guiding Principles of; doing the right thing, putting the customer first, and Earn, Learn, Have Fun (aka E.L.F.), have defined who we are as an Employer of Choice. Give Yourself Credit, Work at Merrick!
The Data Scientist position will work closely with the other Data Scientists and Data Engineers on the team to produce the machine learning models, statistical models, and complex statistical analyses for the bank. This position works on state of the art problems, using state of the art systems, on a team with dozens of years of combined expertise and experience that truly believes in team work, as well as individual growth and development.",501 to 1000 Employees,1987,Company - Private,Banking & Lending,Financial Services,$50 to $100 million (USD)
Data Science Engineer,Moorecroft Systems,Remote,$52.50 /hr (est.),,"Senior Data Science Engineer
Moorecroft is looking to hire a seasoned Data Science Engineer with experience working with petabyte-size data sets to assist one of our Global Media Company clients. They are leaders in the entertainment and streaming business. This consulting role will continue for multiple years and can done Remotely.
The role will be to work closely with their Data Science and CRM teams to leverage a multitude of Data assets sources to reach impactful and actionable data driven insights. You will lead cross function Sprints, champion best coding practices of Data Science teams, build relationships with business partners.
Core Skills and Experience needed",51 to 200 Employees,Company - Public,Unknown / Non-Applicable,,,
Student Employee - Data Science,Electric Power Research Institute,"Charlotte, NC","$82,980 /yr (est.)",5.0,"Job Title:
Student Employee - Data Science
Location:
Charlotte, NC
Job Summary and Description:
This role is primarily related to Data Science, so degree programs focused on scientific disciplines in this area are preferred.
Candidates will support subject matter experts and data scientists in a variety of data analysis tasks that may include: literature review; data review and preparation; model development and implementation; and model results review and assessment.
This opportunity will require the candidate to be in a degree program that is focused on engineering or scientific disciplines. These include, but are not limited to:",Unknown,Company - Private,Unknown / Non-Applicable,,,
Data Science Engineer,Dataquestcorp,"Branchburg, NJ","$75,000 /yr (est.)",,"We are providing free training and placement opportunity on data science like python, tableau, Machine learning and Bigdata.
Benefits:
Free Training and placement.
H1B Sponsorship
We do support for STEM OPT and GC processing.
Health Insurance
Relocation Assistance any where in USA.",,,,,,
Junior Data Scientist,Augray,"Brookfield, WI","$57,500 /yr (est.)",4.3,"Brookfield, WI, USA
Summary:
Hiring Fresher to 1 year experience in Data Science, ML with python and strong analytical skills with a passion to take part in R&D.
About AugRay:
Augray is on a mission to build next generation method of communication using Extended Reality – XR (AR/ VR/ MR) technologies and change the way businesses re conducted and how interactions happen with people. In an age where innovation is happening all around us, there’s commonality – people are driving these changes. We offer a solution that helps to articulate product demonstration and how people conversation takes place using smartphones and wearable glasses.",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data science instructor,MIM,Remote,"$131,513 /yr (est.)",,"ABOUT MIM
MIM is a New York based institution that offers management and technology courses since 1984. Given the growing demand for skilled and passionate data scientists, MIM is looking for experienced and passionate instructors for its Data Science Bootcamp. This program will allow our graduates to enhance their data analytics and technology skills hands-on by working with data, writing code and building machine learning models. It will help them find many new career opportunities for make career changes.
https://www.mimusa.edu/
Job Description
Role Description",,,,,,
Data Science Assistant,United Nations,"New York, NY","$88,585 /yr (est.)",4.0,"This position is located in the Analytics Section of the Analytics and Project Management Service of the Business Transformation and Accountability Division (BTAD) in the Department of Management Strategy, Policy and Compliance (DMSPC). The incumbent reports to a Data Scientist.

For more information, please visit https://www.un.org/management/content/our-offices.
Responsibilities
Within delegated authority, the Data Science Assistant will be responsible for the following duties:

Assists with the preparation of input for response to requests for exploration, identification, and acquisition of data sources to determine their suitability for use in decision making and advancing the goals of the organization.
Competencies



Education
Work Experience








Languages
Assessment
Special Notice






United Nations Considerations










No Fee",10000+ Employees,1945,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable
BHJOB15656_16794 - Data Scientist,Myticas Consulting,Remote,"$88,585 /yr (est.)",3.7,"The recruitment team here at Myticas is looking to hire 2 Data Scientists to assist with building our client's nextgen (next generation) of advanced analytics products using AI, Data Science, and ML (Machine learning).
The Data Scientists we are seeking will collaborate across internal teams to create predictive models and identify opportunities to make informed business decisions and create value for our customer base. The primary responsibilities will be applying a knowledge of statistics, machine learning (ML) programming, data modeling, simulation, and advanced mathematics for recognizing patterns, identify opportunities, posing business questions, and making valuable discoveries leading to prototype development and new product offerings.
REQUIREMENTS:",1 to 50 Employees,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,
Data Engineer,eTeam Inc.,"Thomasville, GA","$91,760 /yr (est.)",4.4,"Senior level with 6 9 years experience data engineering or architecture role.

Key skills will be:
ADF
Use of logic apps
Databricks; SQL and/or Python notebooks
ADLS storage
Experience with AAS
Experience with SAP data sources
Experience working with analytics and data science teams",5001 to 10000 Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Scientist (Junior),BDSA,"Louisville, CO","$100,000 /yr (est.)",1.5,"Job Summary: The Analytics team empowers BDSA through the development of syndicated market research products based on various datasets. As a Junior Data Scientist, you will work on highly complex projects supporting the Product and Professional Services teams with data wrangling, data cleaning, and data reporting tools and techniques.
Your day-to-day activities will involve using heterogeneous datasets to derive insights and automation. For example, combining public weather data with proprietary sales data to identify trends and build forecasts, or using ML/AI tools to parse large datasets and deduplicate data.
QC/QA processes are critical elements of this work and you will spend substantial time automating and managing automated QC/QA systems. The datasets grow substantially day by day and automation of the QC/QA environment is a top priority.",Unknown,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,
